date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:09	345/345	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jul%202016%2011:40:09%20GMT	http://learn.shayhowe.com/robots.txt		(from )
17:10:09	12713/12713	---M--	200	added ('OK')	text/html	etag:%220b690d8160f1ffd7900d9328b2f85c26%22	http://learn.shayhowe.com/	D:/htmlcss/learn.shayhowe.com/index.html	(from )
17:10:10	8679/8679	---M--	200	added ('OK')	application/javascript	etag:%22c634460094fe04e4c5b78b25566757ff%22	http://learn.shayhowe.com/assets/javascripts/vendor/modernizr-2.8.1.js	D:/htmlcss/learn.shayhowe.com/assets/javascripts/vendor/modernizr-2.8.1.js	(from http://learn.shayhowe.com/)
17:10:10	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%228c4dd1c62bdbd78d360f2fc5a0a9f492:1415222911%22	http://cloud.typography.com/6623692/607644/css/fonts.css	D:/htmlcss/cloud.typography.com/6623692/607644/css/fonts.1.delayed	(from http://learn.shayhowe.com/)
17:10:13	27520/27520	---M--	200	added ('OK')	text/css	etag:%22ffa72560dd4c89588f5f193f8f4f19ee%22	http://learn.shayhowe.com/assets/stylesheets/main.css	D:/htmlcss/learn.shayhowe.com/assets/stylesheets/main.css	(from http://learn.shayhowe.com/)
17:10:15	172435/172435	---M--	200	added ('OK')	text/css	etag:%22e2968c0644ef71e30ebab38d7e67201e%22	http://learn.shayhowe.com/assets/misc/type/239878/180FBBD7C8C4DD7EC.css	D:/htmlcss/learn.shayhowe.com/assets/misc/type/239878/180FBBD7C8C4DD7EC.css	(from http://learn.shayhowe.com/)
17:10:15	14111/14111	---M--	200	added ('OK')	text/html	etag:%22734e91920ba7984acb1b97f1cb452b90%22	http://learn.shayhowe.com/html-css/	D:/htmlcss/learn.shayhowe.com/html-css/index.html	(from http://learn.shayhowe.com/)
17:10:15	13385/13385	---M--	200	added ('OK')	text/html	etag:%22874a5ebbde92fde791ff7f67b0f15ca8%22	http://learn.shayhowe.com/advanced-html-css/	D:/htmlcss/learn.shayhowe.com/advanced-html-css/index.html	(from http://learn.shayhowe.com/)
17:10:17	67524/67524	---M--	200	added ('OK')	text/html	etag:%221243731b398ac0040c2b4a882a4f617e%22	http://learn.shayhowe.com/html-css/building-your-first-web-page/	D:/htmlcss/learn.shayhowe.com/html-css/building-your-first-web-page/index.html	(from http://learn.shayhowe.com/)
17:10:18	69564/69564	---M--	200	added ('OK')	text/html	etag:%221591c85bab06fbd07282250001b770ae%22	http://learn.shayhowe.com/html-css/getting-to-know-html/	D:/htmlcss/learn.shayhowe.com/html-css/getting-to-know-html/index.html	(from http://learn.shayhowe.com/)
17:10:19	67372/67372	---M--	200	added ('OK')	text/html	etag:%22bef774f095e6312c150ce08892e64c88%22	http://learn.shayhowe.com/html-css/getting-to-know-css/	D:/htmlcss/learn.shayhowe.com/html-css/getting-to-know-css/index.html	(from http://learn.shayhowe.com/)
17:10:22	75461/75461	---M--	200	added ('OK')	text/html	etag:%22450cc0ea547e48c3d0857a51c14a4377%22	http://learn.shayhowe.com/html-css/opening-the-box-model/	D:/htmlcss/learn.shayhowe.com/html-css/opening-the-box-model/index.html	(from http://learn.shayhowe.com/)
17:10:24	2759/2759	---M--	200	added ('OK')	application/javascript	etag:%221113fcdf486464a2eb61adde2ecff473%22	http://learn.shayhowe.com/assets/javascripts/main.js	D:/htmlcss/learn.shayhowe.com/assets/javascripts/main.js	(from http://learn.shayhowe.com/)
17:10:27	86460/86460	---M--	200	added ('OK')	text/html	etag:%227a979c2091e966d9a3e18f6d9518f0e6%22	http://learn.shayhowe.com/html-css/positioning-content/	D:/htmlcss/learn.shayhowe.com/html-css/positioning-content/index.html	(from http://learn.shayhowe.com/)
17:10:34	79816/79816	---M--	200	added ('OK')	image/png	etag:%228f7fcea07bc3401ce12524ef83654ad4%22	http://learn.shayhowe.com/assets/images/book/book-sm.png	D:/htmlcss/learn.shayhowe.com/assets/images/book/book-sm.png	(from http://learn.shayhowe.com/)
17:10:38	117413/117413	---M--	200	added ('OK')	text/html	etag:%22a4aa261eb54fae2596c4adce1dbd5b44%22	http://learn.shayhowe.com/html-css/working-with-typography/	D:/htmlcss/learn.shayhowe.com/html-css/working-with-typography/index.html	(from http://learn.shayhowe.com/)
17:10:41	93356/93356	---M--	200	added ('OK')	text/html	etag:%224e7359d29b8a7f6653420cb50398f1cf%22	http://learn.shayhowe.com/html-css/setting-backgrounds-and-gradients/	D:/htmlcss/learn.shayhowe.com/html-css/setting-backgrounds-and-gradients/index.html	(from http://learn.shayhowe.com/)
17:10:41	96381/96381	---M--	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	D:/htmlcss/ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from http://learn.shayhowe.com/)
